sample	n_loci	n_zero_loci	gini	max_min_fold	p90_p10	fold80	pct_within_10x_of_median	top10pct_read_share	pct_min	pct_mean	pct_max
MIP_HC_E1401	48	0	0.3693	27.7657	9.4535	2.6991	81.2500	23.5360	0.2033	2.0833	5.6449
MIP_HC_E1403	48	0	0.4153	98.8937	12.4041	3.6526	77.0833	25.6111	0.0642	2.0833	6.3511
MIP_HC_E1404	48	0	0.3723	50.3694	10.2856	2.6369	83.3333	22.9583	0.1040	2.0833	5.2393
MIP_HC_E1411	48	0	0.3588	23.5515	8.5384	2.4549	87.5000	22.2959	0.2121	2.0833	4.9947
MIP_HC_E1412	48	0	0.3734	51.6084	9.6901	2.4579	81.2500	24.6445	0.1284	2.0833	6.6259
MIP_HC_E1418	48	0	0.3965	49.7238	10.6045	2.6698	79.1667	24.6565	0.1166	2.0833	5.7966
MIP_HC_E1440	48	0	0.4614	82.7596	22.8473	3.9178	70.8333	28.8835	0.0853	2.0833	7.0585
MIP_HC_E1601	48	0	0.3471	55.4464	7.8077	2.6375	83.3333	22.0809	0.0999	2.0833	5.5376
MIP_HC_E1603	48	0	0.3840	24.3255	11.2306	3.2030	79.1667	23.1228	0.2049	2.0833	4.9852
MIP_HC_E1604	48	0	0.3953	40.7919	11.7951	2.8048	81.2500	24.5544	0.1684	2.0833	6.8695
MIP_HC_E1605	48	0	0.3965	65.5084	14.7810	3.0251	81.2500	24.4242	0.0865	2.0833	5.6680
MIP_HC_E1609	48	0	0.3951	51.1542	11.6473	3.0702	81.2500	24.8674	0.1139	2.0833	5.8245
MIP_HC_E1612	48	0	0.4585	83.1243	16.3458	3.7791	68.7500	28.1831	0.0834	2.0833	6.9295
MIP_HC_E1752	48	0	0.3646	56.1550	10.0196	3.2795	79.1667	22.0954	0.0812	2.0833	4.5580
MIP_HC_E1757	48	0	0.3613	41.5139	11.0133	2.3397	83.3333	23.5217	0.1278	2.0833	5.3066
MIP_HC_E1759	48	0	0.3586	112.6881	5.9878	2.8908	91.6667	22.3364	0.0449	2.0833	5.0543
MIP_HC_E1760	48	0	0.3430	52.3500	8.1918	2.3362	87.5000	21.9599	0.0908	2.0833	4.7539
MIP_HC_E1762	48	0	0.3423	62.5122	6.6069	2.3548	85.4167	21.4224	0.0705	2.0833	4.4082
MIP_HC_E1764	48	0	0.3608	37.1096	9.4887	2.9389	79.1667	22.0831	0.1363	2.0833	5.0588
MIP_HC_HP-03-M	48	0	0.3903	103.9725	13.7095	3.6111	79.1667	23.7522	0.0476	2.0833	4.9510
MIP_HC_HP-05-M	48	0	0.3859	53.7259	12.2520	3.5491	79.1667	22.5190	0.0971	2.0833	5.2174
MIP_HC_HP-06-M	48	0	0.3781	71.7186	8.7740	2.7657	85.4167	24.3190	0.0746	2.0833	5.3517
MIP_MC_E1406	48	0	0.3583	25.8208	7.9964	2.4824	89.5833	23.4967	0.1876	2.0833	4.8433
MIP_MC_E1414	48	0	0.3671	32.5691	9.0993	2.6461	81.2500	22.1489	0.1605	2.0833	5.2271
MIP_MC_E1415	48	0	0.3819	115.8337	13.2551	3.4253	79.1667	22.9467	0.0494	2.0833	5.7188
MIP_MC_E1416	48	0	0.3793	74.3935	9.4700	2.8087	85.4167	22.2957	0.0673	2.0833	5.0046
MIP_MC_E1419	48	0	0.3760	36.4654	13.0817	2.5728	83.3333	22.3768	0.1356	2.0833	4.9459
MIP_MC_E1431	48	0	0.3646	51.0669	12.4601	2.7884	83.3333	22.4431	0.1011	2.0833	5.1624
MIP_MC_E1434	48	0	0.3237	34.5866	5.9090	2.0915	93.7500	21.9283	0.1401	2.0833	4.8451
MIP_MC_E1442	48	0	0.3337	20.2099	11.1266	2.6936	81.2500	20.5194	0.2253	2.0833	4.5539
MIP_MC_E1608	48	0	0.3402	19.1956	7.8902	2.4724	83.3333	20.6791	0.2482	2.0833	4.7643
MIP_MC_E1610	48	0	0.4338	61.5885	17.2633	4.5998	77.0833	25.9731	0.0884	2.0833	5.4417
MIP_MC_E1611	48	0	0.3278	41.0661	6.2720	2.2218	89.5833	21.5560	0.1141	2.0833	4.6873
MIP_MC_E1614	48	0	0.3551	47.8525	7.9491	2.5921	87.5000	22.7175	0.1078	2.0833	5.1571
MIP_MC_E1615	48	0	0.3535	23.1781	8.8125	3.0981	79.1667	22.1363	0.2155	2.0833	4.9948
MIP_MC_E1750	48	0	0.4229	77.3916	17.5165	4.2522	75.0000	25.7039	0.0777	2.0833	6.0113
MIP_MC_E1751	48	0	0.3296	37.8200	10.1451	2.4685	83.3333	20.3983	0.1242	2.0833	4.6980
MIP_MC_E1753	48	0	0.3239	66.5045	7.5501	2.5111	83.3333	20.1438	0.0684	2.0833	4.5467
MIP_MC_E1754	48	0	0.3614	81.1184	7.4033	2.6693	85.4167	22.6471	0.0756	2.0833	6.1322
MIP_MC_E1755	48	0	0.3519	55.5282	6.8393	2.7956	83.3333	22.3049	0.1014	2.0833	5.6321
MIP_MC_E1756	48	0	0.3765	70.2012	9.0985	2.7047	83.3333	23.3349	0.0768	2.0833	5.3913
MIP_MC_E1758	48	0	0.3887	100.6316	15.6798	3.7957	77.0833	23.2506	0.0530	2.0833	5.3324
MIP_MC_E1761	48	0	0.3413	69.0848	6.2000	2.5700	89.5833	22.4042	0.0837	2.0833	5.7840
MIP_MC_E1763	48	0	0.3385	32.5909	7.1371	2.8296	87.5000	21.3242	0.1432	2.0833	4.6669
MIP_MC_HP-01-M	48	0	0.4012	58.5809	15.8610	3.1149	81.2500	25.5214	0.1030	2.0833	6.0319
MIP_MC_HP-02-M	48	0	0.3362	28.1314	5.8093	2.2144	91.6667	22.1666	0.1766	2.0833	4.9691
MIP_MC_HP-04-M	48	0	0.3694	52.2518	9.2646	2.9756	81.2500	22.8230	0.0934	2.0833	4.8815
MIP_MC_HP-07-M	48	0	0.3767	109.6866	11.2512	2.8328	81.2500	22.3634	0.0492	2.0833	5.3957
MIP_MC_HP-08-M	48	0	0.3403	34.7131	7.7107	2.9849	81.2500	21.7902	0.1451	2.0833	5.0353
MIP_MC_HP-09-M	48	0	0.3729	78.7089	10.9429	2.9405	81.2500	21.7851	0.0604	2.0833	4.7540
MIP_MC_HP-15-M	48	0	0.3788	67.7687	14.8393	3.8895	77.0833	22.0865	0.0717	2.0833	4.8581
