locus	mean_pct_reads	sd
LG47_12364878	4.6206	1.1004
LG22_10791524	4.2234	0.8871
LG46_8532357	4.0203	0.6939
LG49_10294447	3.8465	0.9878
LG03_12420042	3.8274	0.8286
LG10_2015528	3.6761	0.6065
LG32_10117556	3.5976	0.9088
LG01_1592493	3.5542	0.9153
LG02_1008402	3.4105	0.7739
LG09_3481365	3.3294	0.5232
LG52_6718367	3.3171	1.2975
LG35_4209021	3.2933	0.6248
LG19_2034627	3.0345	0.7786
LG49_7288239	2.9602	0.8206
LG58_10615891	2.9581	0.3802
LG33_1016955	2.9281	0.7044
LG65_6636676	2.7165	0.7251
LG40_503476	2.7115	0.5005
LG33_1530546	2.5473	0.9347
LG20_5472026	2.5419	0.4091
LG40_5015981	2.4529	0.6175
LG45_5560202	2.2263	0.6391
LG26_6316189	1.9446	0.2853
LG18_157950	1.8932	0.3486
LG08_823364	1.8724	0.4437
LG13_20774137	1.8290	0.3176
LG21_1158809	1.8240	0.5232
LG39_15201491	1.7173	0.5725
LG27_11048101	1.6393	0.2780
LG57_2619521	1.4746	0.4211
LG20_12305932	1.4301	0.8381
LG31_1600295	1.1180	0.4289
LG60_3657014	1.0874	0.3380
LG12_7197560	1.0829	0.2220
LG06_4134498	1.0686	0.2363
LG31_7310498	1.0670	0.4667
LG05_17108267	0.9588	0.6690
LG63_8238899	0.9042	0.4105
LG30_4560646	0.8977	0.8422
LG17_19923217	0.7728	0.5873
LG07_16749057	0.6776	0.5266
LG23_1757	0.5741	0.3288
LG67_8109449	0.5248	0.1570
LG41_2017424	0.4966	0.2569
LG18_20582554	0.4799	0.1440
LG60_7170810	0.3172	0.2432
LG30_1045036	0.2893	0.1250
LG46_1011267	0.2647	0.1267
